year,period,periodName,value,footnotes,seriesID
2022,M12,December,3.5,,LNS14000000
2022,M11,November,3.6,,LNS14000000
2022,M10,October,3.6,,LNS14000000
2022,M09,September,3.5,,LNS14000000
2022,M08,August,3.6,,LNS14000000
2022,M07,July,3.5,,LNS14000000
2022,M06,June,3.6,,LNS14000000
2022,M05,May,3.6,,LNS14000000
2022,M04,April,3.7,,LNS14000000
2022,M03,March,3.7,,LNS14000000
2022,M02,February,3.8,,LNS14000000
2022,M01,January,4.0,,LNS14000000
2021,M12,December,3.9,,LNS14000000
2021,M11,November,4.2,,LNS14000000
2021,M10,October,4.5,,LNS14000000
2021,M09,September,4.7,,LNS14000000
2021,M08,August,5.1,,LNS14000000
2021,M07,July,5.4,,LNS14000000
2021,M06,June,5.9,,LNS14000000
2021,M05,May,5.8,,LNS14000000
2021,M04,April,6.1,,LNS14000000
2021,M03,March,6.1,,LNS14000000
2021,M02,February,6.2,,LNS14000000
2021,M01,January,6.4,,LNS14000000
2020,M12,December,6.7,,LNS14000000
2020,M11,November,6.7,,LNS14000000
2020,M10,October,6.9,,LNS14000000
2020,M09,September,7.8,,LNS14000000
2020,M08,August,8.4,,LNS14000000
2020,M07,July,10.2,,LNS14000000
2020,M06,June,11.0,,LNS14000000
2020,M05,May,13.2,,LNS14000000
2020,M04,April,14.8,,LNS14000000
2020,M03,March,4.4,,LNS14000000
2020,M02,February,3.5,,LNS14000000
2020,M01,January,3.6,,LNS14000000
2019,M12,December,3.6,,LNS14000000
2019,M11,November,3.6,,LNS14000000
2019,M10,October,3.6,,LNS14000000
2019,M09,September,3.5,,LNS14000000
2019,M08,August,3.6,,LNS14000000
2019,M07,July,3.7,,LNS14000000
2019,M06,June,3.6,,LNS14000000
2019,M05,May,3.6,,LNS14000000
2019,M04,April,3.7,,LNS14000000
2019,M03,March,3.8,,LNS14000000
2019,M02,February,3.8,,LNS14000000
2019,M01,January,4.0,,LNS14000000
2018,M12,December,3.9,,LNS14000000
2018,M11,November,3.8,,LNS14000000
2018,M10,October,3.8,,LNS14000000
2018,M09,September,3.7,,LNS14000000
2018,M08,August,3.8,,LNS14000000
2018,M07,July,3.8,,LNS14000000
2018,M06,June,4.0,,LNS14000000
2018,M05,May,3.8,,LNS14000000
2018,M04,April,4.0,,LNS14000000
2018,M03,March,4.0,,LNS14000000
2018,M02,February,4.1,,LNS14000000
2018,M01,January,4.0,,LNS14000000
2017,M12,December,4.1,,LNS14000000
2017,M11,November,4.2,,LNS14000000
2017,M10,October,4.2,,LNS14000000
2017,M09,September,4.3,,LNS14000000
2017,M08,August,4.4,,LNS14000000
2017,M07,July,4.3,,LNS14000000
2017,M06,June,4.3,,LNS14000000
2017,M05,May,4.4,,LNS14000000
2017,M04,April,4.4,,LNS14000000
2017,M03,March,4.4,,LNS14000000
2017,M02,February,4.6,,LNS14000000
2017,M01,January,4.7,,LNS14000000
2016,M12,December,4.7,,LNS14000000
2016,M11,November,4.7,,LNS14000000
2016,M10,October,4.9,,LNS14000000
2016,M09,September,5.0,,LNS14000000
2016,M08,August,4.9,,LNS14000000
2016,M07,July,4.8,,LNS14000000
2016,M06,June,4.9,,LNS14000000
2016,M05,May,4.8,,LNS14000000
2016,M04,April,5.1,,LNS14000000
2016,M03,March,5.0,,LNS14000000
2016,M02,February,4.9,,LNS14000000
2016,M01,January,4.8,,LNS14000000
2015,M12,December,5.0,,LNS14000000
2015,M11,November,5.1,,LNS14000000
2015,M10,October,5.0,,LNS14000000
2015,M09,September,5.0,,LNS14000000
2015,M08,August,5.1,,LNS14000000
2015,M07,July,5.2,,LNS14000000
2015,M06,June,5.3,,LNS14000000
2015,M05,May,5.6,,LNS14000000
2015,M04,April,5.4,,LNS14000000
2015,M03,March,5.4,,LNS14000000
2015,M02,February,5.5,,LNS14000000
2022,M12,December,421,,LNU05026645
2022,M11,November,430,,LNU05026645
2022,M10,October,373,,LNU05026645
2022,M09,September,462,,LNU05026645
2022,M08,August,337,,LNU05026645
2022,M07,July,472,,LNU05026645
2022,M06,June,386,,LNU05026645
2022,M05,May,379,,LNU05026645
2022,M04,April,477,,LNU05026645
2022,M03,March,330,,LNU05026645
