Series ID,Year,Period,Label,Value
CUSR0000SASLE,2000,M01,2000 Jan,199.2
CUSR0000SASLE,2000,M02,2000 Feb,199.5
CUSR0000SASLE,2000,M03,2000 Mar,200.2
CUSR0000SASLE,2000,M04,2000 Apr,200.6
CUSR0000SASLE,2000,M05,2000 May,201.2
CUSR0000SASLE,2000,M06,2000 Jun,201.9
CUSR0000SASLE,2000,M07,2000 Jul,202.5
CUSR0000SASLE,2000,M08,2000 Aug,203.2
CUSR0000SASLE,2000,M09,2000 Sep,203.6
CUSR0000SASLE,2000,M10,2000 Oct,204.1
CUSR0000SASLE,2000,M11,2000 Nov,204.7
CUSR0000SASLE,2000,M12,2000 Dec,205.1
CUSR0000SASLE,2001,M01,2001 Jan,206
CUSR0000SASLE,2001,M02,2001 Feb,206.6
CUSR0000SASLE,2001,M03,2001 Mar,207.3
CUSR0000SASLE,2001,M04,2001 Apr,207.8
CUSR0000SASLE,2001,M05,2001 May,208.4
CUSR0000SASLE,2001,M06,2001 Jun,209.4
CUSR0000SASLE,2001,M07,2001 Jul,209.9
CUSR0000SASLE,2001,M08,2001 Aug,210.8
CUSR0000SASLE,2001,M09,2001 Sep,211.2
CUSR0000SASLE,2001,M10,2001 Oct,211.7
CUSR0000SASLE,2001,M11,2001 Nov,212.7
CUSR0000SASLE,2001,M12,2001 Dec,213.3
CUSR0000SASLE,2002,M01,2002 Jan,214.2
CUSR0000SASLE,2002,M02,2002 Feb,215
CUSR0000SASLE,2002,M03,2002 Mar,215.4
CUSR0000SASLE,2002,M04,2002 Apr,216
CUSR0000SASLE,2002,M05,2002 May,216.6
CUSR0000SASLE,2002,M06,2002 Jun,217
CUSR0000SASLE,2002,M07,2002 Jul,217.7
CUSR0000SASLE,2002,M08,2002 Aug,218.5
CUSR0000SASLE,2002,M09,2002 Sep,219
CUSR0000SASLE,2002,M10,2002 Oct,219.5
CUSR0000SASLE,2002,M11,2002 Nov,220.2
CUSR0000SASLE,2002,M12,2002 Dec,220.7
CUSR0000SASLE,2003,M01,2003 Jan,221.5
CUSR0000SASLE,2003,M02,2003 Feb,221.8
CUSR0000SASLE,2003,M03,2003 Mar,222
CUSR0000SASLE,2003,M04,2003 Apr,222.2
CUSR0000SASLE,2003,M05,2003 May,223.1
CUSR0000SASLE,2003,M06,2003 Jun,223.3
CUSR0000SASLE,2003,M07,2003 Jul,224
CUSR0000SASLE,2003,M08,2003 Aug,224.4
CUSR0000SASLE,2003,M09,2003 Sep,224.9
CUSR0000SASLE,2003,M10,2003 Oct,225.7
CUSR0000SASLE,2003,M11,2003 Nov,226
CUSR0000SASLE,2003,M12,2003 Dec,226.5
CUSR0000SASLE,2004,M01,2004 Jan,227.1
CUSR0000SASLE,2004,M02,2004 Feb,227.4
CUSR0000SASLE,2004,M03,2004 Mar,228.3
CUSR0000SASLE,2004,M04,2004 Apr,229
CUSR0000SASLE,2004,M05,2004 May,229.5
CUSR0000SASLE,2004,M06,2004 Jun,230
CUSR0000SASLE,2004,M07,2004 Jul,230.5
CUSR0000SASLE,2004,M08,2004 Aug,230.9
CUSR0000SASLE,2004,M09,2004 Sep,231.6
CUSR0000SASLE,2004,M10,2004 Oct,232
CUSR0000SASLE,2004,M11,2004 Nov,232.5
CUSR0000SASLE,2004,M12,2004 Dec,232.9
CUSR0000SASLE,2005,M01,2005 Jan,233.5
CUSR0000SASLE,2005,M02,2005 Feb,234.2
CUSR0000SASLE,2005,M03,2005 Mar,235.3
CUSR0000SASLE,2005,M04,2005 Apr,235.6
CUSR0000SASLE,2005,M05,2005 May,235.9
CUSR0000SASLE,2005,M06,2005 Jun,236.2
CUSR0000SASLE,2005,M07,2005 Jul,236.8
CUSR0000SASLE,2005,M08,2005 Aug,237.1
CUSR0000SASLE,2005,M09,2005 Sep,237.4
CUSR0000SASLE,2005,M10,2005 Oct,238.3
CUSR0000SASLE,2005,M11,2005 Nov,239.2
CUSR0000SASLE,2005,M12,2005 Dec,239.8
CUSR0000SASLE,2006,M01,2006 Jan,240.3
CUSR0000SASLE,2006,M02,2006 Feb,241.1
CUSR0000SASLE,2006,M03,2006 Mar,242
CUSR0000SASLE,2006,M04,2006 Apr,242.8
CUSR0000SASLE,2006,M05,2006 May,243.7
CUSR0000SASLE,2006,M06,2006 Jun,244.5
CUSR0000SASLE,2006,M07,2006 Jul,245.2
CUSR0000SASLE,2006,M08,2006 Aug,246
CUSR0000SASLE,2006,M09,2006 Sep,246.6
CUSR0000SASLE,2006,M10,2006 Oct,247.4
CUSR0000SASLE,2006,M11,2006 Nov,248
CUSR0000SASLE,2006,M12,2006 Dec,248.6
CUSR0000SASLE,2007,M01,2007 Jan,249.382
CUSR0000SASLE,2007,M02,2007 Feb,250.242
CUSR0000SASLE,2007,M03,2007 Mar,250.742
CUSR0000SASLE,2007,M04,2007 Apr,251.385
CUSR0000SASLE,2007,M05,2007 May,251.991
CUSR0000SASLE,2007,M06,2007 Jun,252.647
CUSR0000SASLE,2007,M07,2007 Jul,253.271
CUSR0000SASLE,2007,M08,2007 Aug,253.874
CUSR0000SASLE,2007,M09,2007 Sep,254.616
CUSR0000SASLE,2007,M10,2007 Oct,255.379
CUSR0000SASLE,2007,M11,2007 Nov,256.164
CUSR0000SASLE,2007,M12,2007 Dec,256.933
CUSR0000SASLE,2008,M01,2008 Jan,257.748
CUSR0000SASLE,2008,M02,2008 Feb,258.158
CUSR0000SASLE,2008,M03,2008 Mar,259.048
CUSR0000SASLE,2008,M04,2008 Apr,259.298
CUSR0000SASLE,2008,M05,2008 May,260.029
CUSR0000SASLE,2008,M06,2008 Jun,260.86
CUSR0000SASLE,2008,M07,2008 Jul,261.565
CUSR0000SASLE,2008,M08,2008 Aug,262.226
CUSR0000SASLE,2008,M09,2008 Sep,262.815
CUSR0000SASLE,2008,M10,2008 Oct,263.141
CUSR0000SASLE,2008,M11,2008 Nov,263.492
CUSR0000SASLE,2008,M12,2008 Dec,263.685
CUSR0000SASLE,2009,M01,2009 Jan,264.282
