Series ID,Year,Period,Label,Value
CUSR0000SASL2RS,2000,M01,2000 Jan,198.9
CUSR0000SASL2RS,2000,M02,2000 Feb,199.5
CUSR0000SASL2RS,2000,M03,2000 Mar,200.1
CUSR0000SASL2RS,2000,M04,2000 Apr,200.7
CUSR0000SASL2RS,2000,M05,2000 May,201.3
CUSR0000SASL2RS,2000,M06,2000 Jun,202.4
CUSR0000SASL2RS,2000,M07,2000 Jul,203.4
CUSR0000SASL2RS,2000,M08,2000 Aug,204.2
CUSR0000SASL2RS,2000,M09,2000 Sep,205.1
CUSR0000SASL2RS,2000,M10,2000 Oct,205.9
CUSR0000SASL2RS,2000,M11,2000 Nov,206.2
CUSR0000SASL2RS,2000,M12,2000 Dec,207.6
CUSR0000SASL2RS,2001,M01,2001 Jan,210.3
CUSR0000SASL2RS,2001,M02,2001 Feb,210.7
CUSR0000SASL2RS,2001,M03,2001 Mar,210.9
CUSR0000SASL2RS,2001,M04,2001 Apr,211.2
CUSR0000SASL2RS,2001,M05,2001 May,211.9
CUSR0000SASL2RS,2001,M06,2001 Jun,212.7
CUSR0000SASL2RS,2001,M07,2001 Jul,212.8
CUSR0000SASL2RS,2001,M08,2001 Aug,213.1
CUSR0000SASL2RS,2001,M09,2001 Sep,213.2
CUSR0000SASL2RS,2001,M10,2001 Oct,213.1
CUSR0000SASL2RS,2001,M11,2001 Nov,213.6
CUSR0000SASL2RS,2001,M12,2001 Dec,213.9
CUSR0000SASL2RS,2002,M01,2002 Jan,214.3
CUSR0000SASL2RS,2002,M02,2002 Feb,214.5
CUSR0000SASL2RS,2002,M03,2002 Mar,215.1
CUSR0000SASL2RS,2002,M04,2002 Apr,215.7
CUSR0000SASL2RS,2002,M05,2002 May,216.5
CUSR0000SASL2RS,2002,M06,2002 Jun,216.8
CUSR0000SASL2RS,2002,M07,2002 Jul,217.7
CUSR0000SASL2RS,2002,M08,2002 Aug,218.6
CUSR0000SASL2RS,2002,M09,2002 Sep,219.2
CUSR0000SASL2RS,2002,M10,2002 Oct,220.0
CUSR0000SASL2RS,2002,M11,2002 Nov,220.5
CUSR0000SASL2RS,2002,M12,2002 Dec,221.3
CUSR0000SASL2RS,2003,M01,2003 Jan,222.0
CUSR0000SASL2RS,2003,M02,2003 Feb,223.0
CUSR0000SASL2RS,2003,M03,2003 Mar,224.8
CUSR0000SASL2RS,2003,M04,2003 Apr,225.2
CUSR0000SASL2RS,2003,M05,2003 May,226.0
CUSR0000SASL2RS,2003,M06,2003 Jun,226.5
CUSR0000SASL2RS,2003,M07,2003 Jul,227.1
CUSR0000SASL2RS,2003,M08,2003 Aug,227.5
CUSR0000SASL2RS,2003,M09,2003 Sep,228.4
CUSR0000SASL2RS,2003,M10,2003 Oct,228.8
CUSR0000SASL2RS,2003,M11,2003 Nov,228.6
CUSR0000SASL2RS,2003,M12,2003 Dec,229.2
CUSR0000SASL2RS,2004,M01,2004 Jan,230.2
CUSR0000SASL2RS,2004,M02,2004 Feb,231.0
CUSR0000SASL2RS,2004,M03,2004 Mar,231.3
CUSR0000SASL2RS,2004,M04,2004 Apr,231.8
CUSR0000SASL2RS,2004,M05,2004 May,232.2
CUSR0000SASL2RS,2004,M06,2004 Jun,233.4
CUSR0000SASL2RS,2004,M07,2004 Jul,234.0
CUSR0000SASL2RS,2004,M08,2004 Aug,234.5
CUSR0000SASL2RS,2004,M09,2004 Sep,234.9
CUSR0000SASL2RS,2004,M10,2004 Oct,235.0
CUSR0000SASL2RS,2004,M11,2004 Nov,236.7
CUSR0000SASL2RS,2004,M12,2004 Dec,237.4
CUSR0000SASL2RS,2005,M01,2005 Jan,237.8
CUSR0000SASL2RS,2005,M02,2005 Feb,238.4
CUSR0000SASL2RS,2005,M03,2005 Mar,239.2
CUSR0000SASL2RS,2005,M04,2005 Apr,240.6
CUSR0000SASL2RS,2005,M05,2005 May,241.3
CUSR0000SASL2RS,2005,M06,2005 Jun,241.6
CUSR0000SASL2RS,2005,M07,2005 Jul,242.6
CUSR0000SASL2RS,2005,M08,2005 Aug,243.4
CUSR0000SASL2RS,2005,M09,2005 Sep,245.8
CUSR0000SASL2RS,2005,M10,2005 Oct,248.0
CUSR0000SASL2RS,2005,M11,2005 Nov,249.8
CUSR0000SASL2RS,2005,M12,2005 Dec,249.7
CUSR0000SASL2RS,2006,M01,2006 Jan,251.6
CUSR0000SASL2RS,2006,M02,2006 Feb,251.5
CUSR0000SASL2RS,2006,M03,2006 Mar,251.7
CUSR0000SASL2RS,2006,M04,2006 Apr,252.0
CUSR0000SASL2RS,2006,M05,2006 May,252.5
CUSR0000SASL2RS,2006,M06,2006 Jun,253.0
CUSR0000SASL2RS,2006,M07,2006 Jul,253.5
CUSR0000SASL2RS,2006,M08,2006 Aug,254.1
CUSR0000SASL2RS,2006,M09,2006 Sep,255.1
CUSR0000SASL2RS,2006,M10,2006 Oct,254.3
CUSR0000SASL2RS,2006,M11,2006 Nov,254.9
CUSR0000SASL2RS,2006,M12,2006 Dec,255.8
CUSR0000SASL2RS,2007,M01,2007 Jan,256.655
CUSR0000SASL2RS,2007,M02,2007 Feb,257.640
CUSR0000SASL2RS,2007,M03,2007 Mar,258.653
CUSR0000SASL2RS,2007,M04,2007 Apr,259.258
CUSR0000SASL2RS,2007,M05,2007 May,259.944
CUSR0000SASL2RS,2007,M06,2007 Jun,260.649
CUSR0000SASL2RS,2007,M07,2007 Jul,261.011
CUSR0000SASL2RS,2007,M08,2007 Aug,261.130
CUSR0000SASL2RS,2007,M09,2007 Sep,262.080
CUSR0000SASL2RS,2007,M10,2007 Oct,263.227
CUSR0000SASL2RS,2007,M11,2007 Nov,263.943
CUSR0000SASL2RS,2007,M12,2007 Dec,264.995
CUSR0000SASL2RS,2008,M01,2008 Jan,265.945
CUSR0000SASL2RS,2008,M02,2008 Feb,266.774
