Series ID,Year,Period,Label,Value
CUSR0000SAH1,2000,M01,2000 Jan,190.6
CUSR0000SAH1,2000,M02,2000 Feb,190.9
CUSR0000SAH1,2000,M03,2000 Mar,191.6
CUSR0000SAH1,2000,M04,2000 Apr,191.9
CUSR0000SAH1,2000,M05,2000 May,192.4
CUSR0000SAH1,2000,M06,2000 Jun,193.1
CUSR0000SAH1,2000,M07,2000 Jul,193.6
CUSR0000SAH1,2000,M08,2000 Aug,194.1
CUSR0000SAH1,2000,M09,2000 Sep,194.7
CUSR0000SAH1,2000,M10,2000 Oct,195.3
CUSR0000SAH1,2000,M11,2000 Nov,195.8
CUSR0000SAH1,2000,M12,2000 Dec,196.1
CUSR0000SAH1,2001,M01,2001 Jan,196.8
CUSR0000SAH1,2001,M02,2001 Feb,197.5
CUSR0000SAH1,2001,M03,2001 Mar,198.3
CUSR0000SAH1,2001,M04,2001 Apr,198.8
CUSR0000SAH1,2001,M05,2001 May,199.6
CUSR0000SAH1,2001,M06,2001 Jun,200.5
CUSR0000SAH1,2001,M07,2001 Jul,200.9
CUSR0000SAH1,2001,M08,2001 Aug,201.8
CUSR0000SAH1,2001,M09,2001 Sep,202.0
CUSR0000SAH1,2001,M10,2001 Oct,202.5
CUSR0000SAH1,2001,M11,2001 Nov,203.5
CUSR0000SAH1,2001,M12,2001 Dec,204.3
CUSR0000SAH1,2002,M01,2002 Jan,205.1
CUSR0000SAH1,2002,M02,2002 Feb,206.0
CUSR0000SAH1,2002,M03,2002 Mar,206.3
CUSR0000SAH1,2002,M04,2002 Apr,207.0
CUSR0000SAH1,2002,M05,2002 May,207.4
CUSR0000SAH1,2002,M06,2002 Jun,207.8
CUSR0000SAH1,2002,M07,2002 Jul,208.2
CUSR0000SAH1,2002,M08,2002 Aug,208.9
CUSR0000SAH1,2002,M09,2002 Sep,209.4
CUSR0000SAH1,2002,M10,2002 Oct,209.7
CUSR0000SAH1,2002,M11,2002 Nov,210.4
CUSR0000SAH1,2002,M12,2002 Dec,210.8
CUSR0000SAH1,2003,M01,2003 Jan,211.5
CUSR0000SAH1,2003,M02,2003 Feb,211.6
CUSR0000SAH1,2003,M03,2003 Mar,211.5
CUSR0000SAH1,2003,M04,2003 Apr,211.6
CUSR0000SAH1,2003,M05,2003 May,212.6
CUSR0000SAH1,2003,M06,2003 Jun,212.6
CUSR0000SAH1,2003,M07,2003 Jul,213.2
CUSR0000SAH1,2003,M08,2003 Aug,213.6
CUSR0000SAH1,2003,M09,2003 Sep,214.0
CUSR0000SAH1,2003,M10,2003 Oct,214.7
CUSR0000SAH1,2003,M11,2003 Nov,215.1
CUSR0000SAH1,2003,M12,2003 Dec,215.5
CUSR0000SAH1,2004,M01,2004 Jan,215.9
CUSR0000SAH1,2004,M02,2004 Feb,215.8
CUSR0000SAH1,2004,M03,2004 Mar,217.0
CUSR0000SAH1,2004,M04,2004 Apr,217.8
CUSR0000SAH1,2004,M05,2004 May,218.5
CUSR0000SAH1,2004,M06,2004 Jun,218.9
CUSR0000SAH1,2004,M07,2004 Jul,219.3
CUSR0000SAH1,2004,M08,2004 Aug,219.6
CUSR0000SAH1,2004,M09,2004 Sep,220.4
CUSR0000SAH1,2004,M10,2004 Oct,220.7
CUSR0000SAH1,2004,M11,2004 Nov,220.9
CUSR0000SAH1,2004,M12,2004 Dec,221.3
CUSR0000SAH1,2005,M01,2005 Jan,221.7
CUSR0000SAH1,2005,M02,2005 Feb,222.5
CUSR0000SAH1,2005,M03,2005 Mar,223.7
CUSR0000SAH1,2005,M04,2005 Apr,223.7
CUSR0000SAH1,2005,M05,2005 May,223.8
CUSR0000SAH1,2005,M06,2005 Jun,224.0
CUSR0000SAH1,2005,M07,2005 Jul,224.6
CUSR0000SAH1,2005,M08,2005 Aug,224.9
CUSR0000SAH1,2005,M09,2005 Sep,224.6
CUSR0000SAH1,2005,M10,2005 Oct,225.8
CUSR0000SAH1,2005,M11,2005 Nov,226.5
CUSR0000SAH1,2005,M12,2005 Dec,227.1
CUSR0000SAH1,2006,M01,2006 Jan,227.5
CUSR0000SAH1,2006,M02,2006 Feb,228.3
CUSR0000SAH1,2006,M03,2006 Mar,229.3
CUSR0000SAH1,2006,M04,2006 Apr,230.1
CUSR0000SAH1,2006,M05,2006 May,231.0
CUSR0000SAH1,2006,M06,2006 Jun,231.9
CUSR0000SAH1,2006,M07,2006 Jul,232.7
CUSR0000SAH1,2006,M08,2006 Aug,233.5
CUSR0000SAH1,2006,M09,2006 Sep,234.0
CUSR0000SAH1,2006,M10,2006 Oct,235.0
CUSR0000SAH1,2006,M11,2006 Nov,235.8
CUSR0000SAH1,2006,M12,2006 Dec,236.5
CUSR0000SAH1,2007,M01,2007 Jan,237.255
CUSR0000SAH1,2007,M02,2007 Feb,238.107
CUSR0000SAH1,2007,M03,2007 Mar,238.538
CUSR0000SAH1,2007,M04,2007 Apr,239.140
CUSR0000SAH1,2007,M05,2007 May,239.637
CUSR0000SAH1,2007,M06,2007 Jun,240.345
CUSR0000SAH1,2007,M07,2007 Jul,240.843
CUSR0000SAH1,2007,M08,2007 Aug,241.450
CUSR0000SAH1,2007,M09,2007 Sep,242.037
CUSR0000SAH1,2007,M10,2007 Oct,242.581
CUSR0000SAH1,2007,M11,2007 Nov,243.305
CUSR0000SAH1,2007,M12,2007 Dec,243.979
CUSR0000SAH1,2008,M01,2008 Jan,244.564
CUSR0000SAH1,2008,M02,2008 Feb,244.926
CUSR0000SAH1,2008,M03,2008 Mar,245.659
CUSR0000SAH1,2008,M04,2008 Apr,245.608
CUSR0000SAH1,2008,M05,2008 May,245.902
CUSR0000SAH1,2008,M06,2008 Jun,246.406
CUSR0000SAH1,2008,M07,2008 Jul,246.863
CUSR0000SAH1,2008,M08,2008 Aug,247.208
CUSR0000SAH1,2008,M09,2008 Sep,247.723
CUSR0000SAH1,2008,M10,2008 Oct,247.995
CUSR0000SAH1,2008,M11,2008 Nov,248.486
CUSR0000SAH1,2008,M12,2008 Dec,248.508
CUSR0000SAH1,2009,M01,2009 Jan,248.963
CUSR0000SAH1,2009,M02,2009 Feb,249.087
CUSR0000SAH1,2009,M03,2009 Mar,249.360
CUSR0000SAH1,2009,M04,2009 Apr,249.579
CUSR0000SAH1,2009,M05,2009 May,249.643
CUSR0000SAH1,2009,M06,2009 Jun,249.492
CUSR0000SAH1,2009,M07,2009 Jul,249.149
CUSR0000SAH1,2009,M08,2009 Aug,249.519
CUSR0000SAH1,2009,M09,2009 Sep,249.415
CUSR0000SAH1,2009,M10,2009 Oct,249.643
CUSR0000SAH1,2009,M11,2009 Nov,249.211
CUSR0000SAH1,2009,M12,2009 Dec,249.219
CUSR0000SAH1,2010,M01,2010 Jan,248.034
CUSR0000SAH1,2010,M02,2010 Feb,247.997
CUSR0000SAH1,2010,M03,2010 Mar,247.914
CUSR0000SAH1,2010,M04,2010 Apr,247.959
CUSR0000SAH1,2010,M05,2010 May,248.128
CUSR0000SAH1,2010,M06,2010 Jun,248.295
CUSR0000SAH1,2010,M07,2010 Jul,248.430
CUSR0000SAH1,2010,M08,2010 Aug,248.430
CUSR0000SAH1,2010,M09,2010 Sep,248.568
CUSR0000SAH1,2010,M10,2010 Oct,248.692
CUSR0000SAH1,2010,M11,2010 Nov,248.993
CUSR0000SAH1,2010,M12,2010 Dec,249.284
CUSR0000SAH1,2011,M01,2011 Jan,249.621
CUSR0000SAH1,2011,M02,2011 Feb,249.924
CUSR0000SAH1,2011,M03,2011 Mar,250.158
CUSR0000SAH1,2011,M04,2011 Apr,250.412
CUSR0000SAH1,2011,M05,2011 May,250.660
CUSR0000SAH1,2011,M06,2011 Jun,251.178
CUSR0000SAH1,2011,M07,2011 Jul,251.834
CUSR0000SAH1,2011,M08,2011 Aug,252.329
CUSR0000SAH1,2011,M09,2011 Sep,252.668
CUSR0000SAH1,2011,M10,2011 Oct,253.184
CUSR0000SAH1,2011,M11,2011 Nov,253.619
CUSR0000SAH1,2011,M12,2011 Dec,254.150
CUSR0000SAH1,2012,M01,2012 Jan,254.512
CUSR0000SAH1,2012,M02,2012 Feb,254.951
CUSR0000SAH1,2012,M03,2012 Mar,255.474
CUSR0000SAH1,2012,M04,2012 Apr,256.056
CUSR0000SAH1,2012,M05,2012 May,256.451
CUSR0000SAH1,2012,M06,2012 Jun,256.813
CUSR0000SAH1,2012,M07,2012 Jul,257.153
CUSR0000SAH1,2012,M08,2012 Aug,257.647
CUSR0000SAH1,2012,M09,2012 Sep,258.233
CUSR0000SAH1,2012,M10,2012 Oct,258.816
CUSR0000SAH1,2012,M11,2012 Nov,259.216
CUSR0000SAH1,2012,M12,2012 Dec,259.644
CUSR0000SAH1,2013,M01,2013 Jan,260.142
CUSR0000SAH1,2013,M02,2013 Feb,260.719
CUSR0000SAH1,2013,M03,2013 Mar,261.176
CUSR0000SAH1,2013,M04,2013 Apr,261.679
CUSR0000SAH1,2013,M05,2013 May,262.263
CUSR0000SAH1,2013,M06,2013 Jun,262.797
CUSR0000SAH1,2013,M07,2013 Jul,263.239
CUSR0000SAH1,2013,M08,2013 Aug,263.860
CUSR0000SAH1,2013,M09,2013 Sep,264.321
CUSR0000SAH1,2013,M10,2013 Oct,264.684
CUSR0000SAH1,2013,M11,2013 Nov,265.496
CUSR0000SAH1,2013,M12,2013 Dec,266.228
CUSR0000SAH1,2014,M01,2014 Jan,266.892
CUSR0000SAH1,2014,M02,2014 Feb,267.481
CUSR0000SAH1,2014,M03,2014 Mar,268.287
CUSR0000SAH1,2014,M04,2014 Apr,268.923
CUSR0000SAH1,2014,M05,2014 May,269.715
CUSR0000SAH1,2014,M06,2014 Jun,270.149
CUSR0000SAH1,2014,M07,2014 Jul,270.891
CUSR0000SAH1,2014,M08,2014 Aug,271.493
CUSR0000SAH1,2014,M09,2014 Sep,272.118
CUSR0000SAH1,2014,M10,2014 Oct,272.730
CUSR0000SAH1,2014,M11,2014 Nov,273.436
CUSR0000SAH1,2014,M12,2014 Dec,273.997
CUSR0000SAH1,2015,M01,2015 Jan,274.762
CUSR0000SAH1,2015,M02,2015 Feb,275.470
CUSR0000SAH1,2015,M03,2015 Mar,276.258
CUSR0000SAH1,2015,M04,2015 Apr,277.003
CUSR0000SAH1,2015,M05,2015 May,277.524
CUSR0000SAH1,2015,M06,2015 Jun,278.284
CUSR0000SAH1,2015,M07,2015 Jul,279.329
CUSR0000SAH1,2015,M08,2015 Aug,279.921
CUSR0000SAH1,2015,M09,2015 Sep,280.737
CUSR0000SAH1,2015,M10,2015 Oct,281.429
CUSR0000SAH1,2015,M11,2015 Nov,282.129
CUSR0000SAH1,2015,M12,2015 Dec,282.779
CUSR0000SAH1,2016,M01,2016 Jan,283.714
CUSR0000SAH1,2016,M02,2016 Feb,284.502
CUSR0000SAH1,2016,M03,2016 Mar,285.122
CUSR0000SAH1,2016,M04,2016 Apr,285.853
CUSR0000SAH1,2016,M05,2016 May,286.855
CUSR0000SAH1,2016,M06,2016 Jun,287.819
CUSR0000SAH1,2016,M07,2016 Jul,288.524
CUSR0000SAH1,2016,M08,2016 Aug,289.367
CUSR0000SAH1,2016,M09,2016 Sep,290.369
CUSR0000SAH1,2016,M10,2016 Oct,291.378
CUSR0000SAH1,2016,M11,2016 Nov,292.227
CUSR0000SAH1,2016,M12,2016 Dec,293.066
CUSR0000SAH1,2017,M01,2017 Jan,293.769
CUSR0000SAH1,2017,M02,2017 Feb,294.543
CUSR0000SAH1,2017,M03,2017 Mar,295.012
CUSR0000SAH1,2017,M04,2017 Apr,295.741
CUSR0000SAH1,2017,M05,2017 May,296.461
CUSR0000SAH1,2017,M06,2017 Jun,297.215
CUSR0000SAH1,2017,M07,2017 Jul,297.676
CUSR0000SAH1,2017,M08,2017 Aug,298.904
CUSR0000SAH1,2017,M09,2017 Sep,299.711
CUSR0000SAH1,2017,M10,2017 Oct,300.814
CUSR0000SAH1,2017,M11,2017 Nov,301.430
CUSR0000SAH1,2017,M12,2017 Dec,302.428
CUSR0000SAH1,2018,M01,2018 Jan,303.213
CUSR0000SAH1,2018,M02,2018 Feb,303.784
CUSR0000SAH1,2018,M03,2018 Mar,304.812
CUSR0000SAH1,2018,M04,2018 Apr,305.720
CUSR0000SAH1,2018,M05,2018 May,306.808
CUSR0000SAH1,2018,M06,2018 Jun,307.183
