,Date,Standard,Core,Supercore
0,2000-01-01,,,
1,2000-02-01,,,
2,2000-03-01,,,
3,2000-04-01,,,
4,2000-05-01,,,
5,2000-06-01,,,
6,2000-07-01,,,
7,2000-08-01,,,
8,2000-09-01,,,
9,2000-10-01,,,
10,2000-11-01,,,
11,2000-12-01,,,
12,2001-01-01,3.7212049616065945,2.5655326268823275,5.731523378582204
13,2001-02-01,3.529411764705892,2.7870680044593144,5.6140350877192935
14,2001-03-01,2.9824561403508643,2.6111111111110974,5.397301349325345
15,2001-04-01,3.2182562902282053,2.66222961730449,5.231689088191338
16,2001-05-01,3.5630841121495394,2.54565578306587,5.265772478887221
17,2001-06-01,3.193960511033689,2.705687465488693,5.088932806324098
18,2001-07-01,2.7214823393167498,2.6997245179063434,4.621435594886925
19,2001-08-01,2.7214823393167498,2.638812534359536,4.358472086190024
20,2001-09-01,2.5921658986175045,2.6330224904004274,3.949293027791323
21,2001-10-01,2.127659574468077,2.6286966046002336,3.496843127731908
22,2001-11-01,1.894374282433997,2.730748225013646,3.588748787584861
23,2001-12-01,1.603665521191311,2.782324058919805,3.0346820809248554
24,2002-01-01,1.1958997722095743,2.610114192495905,1.902044698050398
25,2002-02-01,1.1363636363636465,2.5488069414316694,1.8035121025154366
26,2002-03-01,1.3628620102214661,2.4363833243096877,1.9914651493598834
27,2002-04-01,1.643990929705219,2.485143165856285,2.130681818181812
28,2002-05-01,1.2408347433727984,2.5364274150026844,2.17083529966966
29,2002-06-01,1.0692177827799743,2.2580645161290214,1.9275975552421443
30,2002-07-01,1.465614430665152,2.1995708154506355,2.3026315789473673
31,2002-08-01,1.747463359639223,2.3567220139260936,2.5809479117784973
32,2002-09-01,1.516002245929271,2.2447888829502993,2.814258911819878
33,2002-10-01,2.0270270270270174,2.187833511205972,3.237916471140312
34,2002-11-01,2.2535211267605604,2.020202020202033,3.2303370786516794
35,2002-12-01,2.4802705749718212,1.9639065817409707,3.459560542309492
36,2003-01-01,2.757456387169399,1.9607843137255054,3.593093793747082
37,2003-02-01,3.146067415730336,1.7979904812268632,3.962703962703973
38,2003-03-01,3.025210084033625,1.744186046511631,4.509530450953059
39,2003-04-01,2.175125488008911,1.4760147601476037,4.4042651831247115
40,2003-05-01,1.8941504178273005,1.5263157894736867,4.387990762124705
41,2003-06-01,1.948775055679297,1.4721345951629994,4.474169741697409
42,2003-07-01,2.055555555555544,1.522309711286085,4.317868626550303
43,2003-08-01,2.216066481994461,1.3082155939298845,4.071363220494062
44,2003-09-01,2.378318584070782,1.2545739675901668,4.197080291970812
45,2003-10-01,2.041942604856528,1.305483028720622,4.0000000000000036
46,2003-11-01,1.9283746556473913,1.094319958311618,3.6734693877551017
47,2003-12-01,2.0352035203520247,1.0931806350858997,3.569814731134202
48,2004-01-01,2.026286966046009,1.1434511434511352,3.693693693693678
49,2004-02-01,1.688453159041381,1.2467532467532516,3.587443946188351
50,2004-03-01,1.7400761283306032,1.558441558441559,2.8914590747330937
51,2004-04-01,2.2925764192139875,1.7662337662337713,2.930728241563063
52,2004-05-01,2.8977583378895444,1.710730948678063,2.743362831858409
53,2004-06-01,3.1676679410158393,1.865284974093262,3.0463576158940464
54,2004-07-01,2.939575394665228,1.7580144777662898,3.038309114927351
55,2004-08-01,2.5474254742547275,1.7045454545454586,3.076923076923066
56,2004-09-01,2.5391680172879516,1.961796592669085,2.8458844133099737
57,2004-10-01,3.1909140075716547,2.0103092783505083,2.7097902097902082
58,2004-11-01,3.621621621621607,2.216494845360839,3.543307086614167
59,2004-12-01,3.3423180592991875,2.2657054582904346,3.5776614310645716
60,2005-01-01,2.8448738593666034,2.261048304213764,3.3014769765421503
61,2005-02-01,3.0530262453133394,2.308876346844535,3.2034632034632082
62,2005-03-01,3.2068412613575736,2.35294117647058,3.4154777345438703
63,2005-04-01,3.3617929562433257,2.1949974476773715,3.796376186367545
64,2005-05-01,2.869287991498415,2.1916411824668858,3.919035314384156
65,2005-06-01,2.541026998411855,2.0345879959308144,3.513281919451572
66,2005-07-01,3.067160232681121,2.083333333333326,3.675213675213662
67,2005-08-01,3.6469344608879517,2.1330624682579957,3.795309168443506
68,2005-09-01,4.741833508956805,1.9240506329113893,4.640272456364403
69,2005-10-01,4.350104821802936,2.071753410813537,5.531914893617018
70,2005-11-01,3.3385498174230532,2.1180030257186067,5.5344317701732315
71,2005-12-01,3.3385498174230532,2.114803625377659,5.181128896377407
72,2006-01-01,4.018789144050117,2.1105527638190846,5.803195962994101
73,2006-02-01,3.63825363825363,2.106318956870612,5.49496644295302
74,2006-03-01,3.4179181771103018,2.0989505247376306,5.225752508361214
75,2006-04-01,3.613835828600931,2.29770229770232,4.738154613466339
76,2006-05-01,3.9772727272727293,2.44389027431422,4.641525072523822
77,2006-06-01,4.1817243159525175,2.6420737786640114,4.718543046357615
78,2006-07-01,4.104669061056954,2.6879044300647026,4.492992580379229
79,2006-08-01,3.926568077511483,2.8344107409249197,4.3960558751027
80,2006-09-01,2.012072434607637,2.930948832588176,3.7835638730675303
81,2006-10-01,1.4063284781516971,2.7722772277227747,2.54032258064516
82,2006-11-01,1.9687026754164672,2.6172839506172885,2.0416333066453074
83,2006-12-01,2.5239777889954462,2.6134122287968298,2.4429315178214006
84,2007-01-01,2.075765178123423,2.657480314960625,2.0091414944356067
85,2007-02-01,2.420260782347028,2.71856581532417,2.4413518886679864
86,2007-03-01,2.798197295943927,2.5051395007342103,2.7624155740961553
87,2007-04-01,2.5929247633283525,2.4155273437499902,2.8801587301587217
88,2007-05-01,2.709885742672613,2.267770204479058,2.948118811881195
89,2007-06-01,2.692765113974227,2.181641573579407,3.0233201581027602
90,2007-07-01,2.3178905864958077,2.1682016480853106,2.9629191321499215
91,2007-08-01,1.897448478900876,2.0884912959380886,2.7666273120818596
92,2007-09-01,2.8338264299802685,2.101351351351366,2.7361818894551027
93,2007-10-01,3.610698365527476,2.1565510597302495,3.5104207628784856
94,2007-11-01,4.373267326732666,2.3387872954764077,3.5476657512750087
95,2007-12-01,4.108813392417532,2.4353676117251366,3.594605160281472
96,2008-01-01,4.294695655165981,2.4789069990412305,3.6196450488009235
97,2008-02-01,4.142959270611968,2.29708083295479,3.545256947678932
98,2008-03-01,3.9749035501344343,2.388524386633417,3.7343467889411563
99,2008-04-01,3.9037609759888126,2.294669292051843,4.132948645750578
100,2008-05-01,4.088413823123993,2.3222157689781087,4.658695719077932
101,2008-06-01,4.935966105947864,2.3917259211376996,5.131805608308482
102,2008-07-01,5.497512078341837,2.463313612274831,5.934615782476582
103,2008-08-01,5.308017162091239,2.4981171756213394,6.084325814728286
104,2008-09-01,4.953319875136075,2.4386208722122937,5.448717948717952
105,2008-10-01,3.7310578899565128,2.2213629955157854,4.993028830629087
106,2008-11-01,1.0999174706166848,2.015893915169764,4.576745736768939
107,2008-12-01,-0.02222800255385904,1.7624596562335837,4.354421781543039
108,2009-01-01,-0.11358601902212717,1.6723503187990874,4.199740547857633
109,2009-02-01,0.008463140671510772,1.800980653363804,4.00638742905981
110,2009-03-01,-0.4464787676623838,1.7876130957932945,3.2879632666448
111,2009-04-01,-0.5763244243767063,1.93232662192393,2.4628388764802445
112,2009-05-01,-1.015761495855172,1.8461309413034588,1.5133025061201177
113,2009-06-01,-1.2291746182109153,1.7119726678550107,0.9367758416202854
114,2009-07-01,-1.9587610037622771,1.5270992984974363,0.23942047225871121
115,2009-08-01,-1.4838355663267633,1.4339650543224725,0.35340663783582915
116,2009-09-01,-1.377942862886472,1.4798373886199645,0.9237950499348724
117,2009-10-01,-0.22396829420033848,1.7127331771131127,1.2012881282338794
118,2009-11-01,1.9145871744709275,1.714243571010421,1.7556507972161794
119,2009-12-01,2.8141231232083674,1.8236717759594345,1.6677876861434848
120,2010-01-01,2.6211113889767157,1.5123351706495702,1.637593192693254
121,2010-02-01,2.151336357866529,1.3494526888039982,1.6748239398548304
122,2010-03-01,2.2861714393279886,1.1592051426555505,2.1033146420143423
123,2010-04-01,2.2067707525304403,0.9675088932173947,2.535228579071802
124,2010-05-01,2.003548929218568,0.9401381427474931,2.8181814890050116
125,2010-06-01,1.1215605940686268,0.9501989849939774,2.7535142014230463
126,2010-07-01,1.3407784804821077,0.9577539302116689,2.7362959702413425
127,2010-08-01,1.1501775395112546,0.9171009950067255,2.577006226685885
128,2010-09-01,1.1183122472331775,0.8143870498363182,2.3247392556101643
129,2010-10-01,1.1666951489314625,0.6027183550187942,2.189924559333556
130,2010-11-01,1.084544776600338,0.672056411046551,1.9190441095314759
131,2010-12-01,1.437793022217937,0.6618948664665503,1.985445284656362
132,2011-01-01,1.7007834915029774,0.9835337415527112,1.9506341158592955
133,2011-02-01,2.124898173333145,1.124445592146106,2.1236472427324404
134,2011-03-01,2.619241510354109,1.2097851736773357,1.9917798440078682
135,2011-04-01,3.0772344447868694,1.3155392125784537,1.9690799795512026
136,2011-05-01,3.4589718808964998,1.4540961794335727,2.089422934700691
137,2011-06-01,3.5023181506360412,1.5836776766096738,2.0805184934977072
138,2011-07-01,3.5798809769996165,1.741483445742964,2.094139709988152
139,2011-08-01,3.75499603070808,1.9651571719433658,2.2197986400664727
140,2011-09-01,3.812621692818685,1.9877227562006272,2.365827251162411
141,2011-10-01,3.5222681306640524,2.1079204796465634,2.390707275685333
142,2011-11-01,3.451432214581729,2.138204538395394,2.382108510125436
143,2011-12-01,3.062066838419386,2.276662633858506,2.4305264920063685
144,2012-01-01,3.0087663379855023,2.2773481506083826,2.4245505770583486
145,2012-02-01,2.8981784423473878,2.1598204405657295,1.9760499826449118
146,2012-03-01,2.5828752813320977,2.2483374654291177,1.9982744222952986
147,2012-04-01,2.2731633741348567,2.314427851801515,1.997787151649244
148,2012-05-01,1.7379429374660749,2.252258280361308,1.8424420550076537
149,2012-06-01,1.653870448297634,2.192285611289857,2.08843896167461
150,2012-07-01,1.4175114798464783,2.109955687378462,1.979292078015904
151,2012-08-01,1.6859349154821235,1.9352524993137443,1.9657553749515388
152,2012-09-01,1.9497168982819613,2.0082434834909124,1.982550000171135
153,2012-10-01,2.1556780595369363,1.9946491483669337,2.0440939285421234
154,2012-11-01,1.7960197033926262,1.9528512686261434,2.202826551293513
155,2012-12-01,1.7595049796895523,1.8996943778720743,2.286710453290297
156,2013-01-01,1.684061762098299,1.9098022178631435,2.368517687380156
157,2013-02-01,2.0181404902574807,1.9887385214485631,2.785634783674218
158,2013-03-01,1.5187472411246183,1.8890221377988237,2.6993606598588293
159,2013-04-01,1.138808047576867,1.715558856294086,2.5190001288144304
160,2013-05-01,1.3903888279197085,1.6455519491850756,2.6423645453683253
161,2013-06-01,1.7157935271568725,1.6230952474272975,2.464042136538591
162,2013-07-01,1.885471805415806,1.7002217680567089,2.63674510227212
163,2013-08-01,1.538809488600279,1.782107690904433,2.569468509963957
164,2013-09-01,1.0947341081747997,1.7519368418314363,2.607227605465523
165,2013-10-01,0.8767991434911471,1.686837731144819,2.532900244449654
166,2013-11-01,1.2328701961954458,1.7416677473738762,2.368679348588154
167,2013-12-01,1.5128383667573297,1.7408566188369834,2.121079979894347
168,2014-01-01,1.557758795574915,1.6070344358370292,2.232341550582251
169,2014-02-01,1.1204746347724948,1.5548073904948723,2.1879149736569348
170,2014-03-01,1.6126949139408042,1.6456609706435588,2.614186668078
171,2014-04-01,2.015125303606169,1.8210555250137483,2.544398850639351
172,2014-05-01,2.166947687079812,1.9455269618362525,2.73472175930356
173,2014-06-01,2.0589816945944195,1.9228626526676562,2.737265963265867
174,2014-07-01,1.9742378703305974,1.8449632290063356,2.569006937666174
175,2014-08-01,1.7150983482969062,1.73639560289498,2.313208116565746
176,2014-09-01,1.6840509711232077,1.7409458883681284,2.0755031745875785
177,2014-10-01,1.6095417021513292,1.817632310436279,2.0457618372665687
178,2014-11-01,1.231524989320798,1.7415947552462452,1.9923099250233944
179,2014-12-01,0.6531213919623191,1.6224195046636636,2.1308082207408985
180,2015-01-01,-0.22993097820542818,1.631625565241701,1.93862798291069
181,2015-02-01,-0.08703146293520536,1.6880834938713285,1.701643636740724
182,2015-03-01,-0.022031284423873476,1.7453777073428434,1.1353416179101794
183,2015-04-01,-0.10403098939391064,1.802827832894649,1.4378119719854032
184,2015-05-01,0.03503321824429584,1.7509440952473199,1.1155867350216564
185,2015-06-01,0.1795718097550525,1.7772676244655061,1.2361082155972758
186,2015-07-01,0.22568611104094582,1.8346312894897077,1.1653390922082174
187,2015-08-01,0.2413037985344868,1.8506323273421277,1.3725113013369095
188,2015-09-01,0.008842961634170088,1.8970961446650891,1.5048677472488725
189,2015-10-01,0.12761656067050708,1.9135335359607986,1.6254984669939576
190,2015-11-01,0.4363182169185187,1.9974275238246353,1.8066240751043905
191,2015-12-01,0.6387247515364791,2.0715072792840905,1.6765500028724345
192,2016-01-01,1.2375025026943876,2.145022538582464,1.6375469304759527
193,2016-02-01,0.8472775790126619,2.222573822094165,1.771312951073023
194,2016-03-01,0.8916160965521946,2.142426948557663,2.0125136659048692
195,2016-04-01,1.1726257503534843,2.156654761214183,2.079578362467127
196,2016-05-01,1.0784764621246223,2.2545595974976074,2.2783515307078783
197,2016-06-01,1.0792865347959424,2.2622116465067066,2.2015657127287813
198,2016-07-01,0.8683633430518256,2.1701399624842965,2.436220247992771
